,Feature,importance
128,ATSC6s,0.0005930662435786741
908,MAXDN2,0.0005908583193901545
1429,RDF40e,0.0005871703731821964
1372,RDF55m,0.0005848503561621639
1602,E3p,0.0005788958389775941
1143,GGI7,0.0005764242997824527
344,SCH-7,0.0005752484685886733
158,AATSC6e,0.0005742263372391552
1152,JGI6,0.0005739423813869761
1519,RDF40s,0.000571470329051319
147,AATSC1v,0.0005699557758242018
1549,E2u,0.0005693811940822409
89,ATSC2v,0.0005594265753351951
416,VE2_Dt,0.0005592580358948511
1548,E1u,0.0005543760610565376
1247,TDB5p,0.0005504057953614989
1370,RDF45m,0.0005491050943630981
305,SpMax2_Bhm,0.0005490580229146214
1228,TDB6v,0.0005428724356569875
1291,DPSA-3,0.0005409127253403031
211,MATS7s,0.0005348136167012344
217,GATS5c,0.0005347399729639316
1467,RDF80p,0.0005335838130897659
1400,RDF45v,0.0005322359193796932
413,SpMAD_Dt,0.0005308908707212035
1036,MLFER_E,0.0005260101841967997
710,minaaaC,0.0005212312163999343
219,GATS7c,0.0005206039743794518
949,ETA_EtaP_F_L,0.0005183526941231569
1222,TDB10m,0.0005176713848489133
787,maxHBint6,0.0005153012850044029
966,IC3,0.0005152970381150396
1407,RDF80v,0.0005149647013784811
701,minssCH2,0.000513255180515871
919,ETA_Epsilon_5,0.0005115773654262663
1369,RDF40m,0.0005106425816421595
1272,TDB10s,0.0005073446220115313
977,SIC2,0.0005066717284536757
1282,TDB10r,0.0005020876932991399
227,GATS7m,0.0005016163237149338
207,MATS3s,0.0004990894843578781
1304,RPCG,0.0004969910569140909
251,GATS7p,0.0004921117619516274
263,GATS3s,0.0004917381856977041
145,AATSC8m,0.0004895129865245701
57,AATS5i,0.00048892233368868
1588,E2e,0.000486691659481711
164,AATSC4p,0.00048545450824910574
206,MATS2s,0.00048389815595126803
204,MATS4i,0.0004838424749092604
144,AATSC7m,0.0004834374013927977
1557,L2m,0.0004818298079805035
1297,FNSA-3,0.00048179895600211425
1301,WNSA-1,0.00048089096770310774
384,VP-4,0.0004790507113319056
5,naAromAtom,0.0004788374604600761
253,GATS1i,0.0004783987041136223
1368,RDF35m,0.0004765611316794314
1351,RDF100u,0.0004759832286260512
255,GATS3i,0.0004757504628218728
363,VPC-6,0.00047490654412546136
295,BCUTc-1l,0.0004720897390853858
230,GATS2v,0.0004712422552139947
237,GATS1e,0.0004709651158370302
157,AATSC5e,0.0004709116501473905
1457,RDF30p,0.00046856580196756066
722,minsssN,0.0004656158289545474
846,maxdO,0.0004650615066907869
179,AATSC5s,0.0004650195521142583
1167,VR2_D,0.0004647475048391172
129,ATSC7s,0.00046142106056388474
265,GATS5s,0.0004609366863444189
186,MATS4c,0.00046034792701227944
1095,nHeteroRing,0.00045983791889363837
374,ASP-2,0.0004595775399195861
82,ATSC3m,0.0004594209961472453
264,GATS4s,0.0004589680650296704
125,ATSC3s,0.00045845529193067855
1206,TDB4u,0.0004576556024142945
1295,FNSA-1,0.0004573470374489693
74,ATSC4c,0.00045527936815117784
281,VE1_Dzp,0.0004539191011820989
35,AATS8v,0.00045099133308621804
160,AATSC8e,0.0004488485621833968
209,MATS5s,0.0004479463000732098
102,ATSC6e,0.0004478907634790108
276,VE1_Dzv,0.00044461836588081016
407,Mi,0.000444116860386011
266,GATS6s,0.00044403159108448366
23,AATS3m,0.0004433315844917329
77,ATSC7c,0.0004426032138361724
1156,JGI10,0.00044201223497462795
447,nHaaCH,0.0004397133440350465
1266,TDB4s,0.0004387099469756248
1148,JGI2,0.0004350980610410198
168,AATSC8p,0.00043496831937180465
189,MATS7c,0.00043410810757596024
76,ATSC6c,0.0004338419171756742
75,ATSC5c,0.0004334551040788278
118,ATSC5i,0.0004322187285209491
1626,E1s,0.0004296819421162458
221,GATS1m,0.0004279892176735492
279,VR1_Dzv,0.00042779311269573153
1231,TDB9v,0.0004275102281298652
1326,MOMI-XY,0.0004273231839305228
466,naaCH,0.00042654562707191915
323,SpMax1_Bhs,0.00042628310583408104
39,AATS5e,0.00042524279460057034
1283,PPSA-1,0.00042339246801470346
196,MATS2e,0.00042198892244128415
933,ETA_BetaP_s,0.000420116425026302
1033,MLFER_BH,0.0004199397614189006
106,ATSC2p,0.0004198262802055597
983,CIC2,0.0004169562328662356
52,AATS0i,0.0004164722019005665
1405,RDF70v,0.0004159477442461224
111,ATSC7p,0.0004143756127009272
1365,RDF20m,0.0004142936074561869
236,GATS8v,0.00041239520254314065
597,SssNH,0.00041224876963366733
59,AATS7i,0.0004115604475381629
197,MATS3e,0.00041127202758696495
1458,RDF35p,0.000409336737973146
727,mindO,0.000408865631962669
373,ASP-1,0.00040834730652870984
1221,TDB9m,0.0004056875344549816
1157,JGT,0.0004056576613475081
379,ASP-7,0.00040515331193369134
667,minHBint5,0.00040514748898064863
169,AATSC0i,0.0004018485957631438
288,VE2_Dzs,0.0004008751253555795
171,AATSC3i,0.00040043023717031
215,GATS3c,0.00040012031870177917
167,AATSC7p,0.00039992944975587614
103,ATSC7e,0.0003967197723943689
