,0
569,CATS2D_08_DA
570,CATS2D_09_DA
571,CATS2D_05_DN
572,CATS2D_02_DL
573,CATS2D_03_DL
574,CATS2D_04_DL
575,CATS2D_05_DL
576,CATS2D_06_DL
577,CATS2D_07_DL
578,CATS2D_08_DL
579,CATS2D_09_DL
580,CATS2D_00_AA
581,CATS2D_01_AA
582,CATS2D_02_AA
583,CATS2D_03_AA
584,CATS2D_04_AA
585,CATS2D_05_AA
586,CATS2D_06_AA
587,CATS2D_07_AA
588,CATS2D_08_AA
589,CATS2D_09_AA
590,CATS2D_04_AP
591,CATS2D_05_AN
592,CATS2D_02_AL
593,CATS2D_03_AL
594,CATS2D_04_AL
595,CATS2D_05_AL
596,CATS2D_06_AL
597,CATS2D_07_AL
598,CATS2D_08_AL
599,CATS2D_09_AL
600,CATS2D_02_PL
601,CATS2D_03_PL
602,CATS2D_04_PL
603,CATS2D_06_PL
604,CATS2D_07_PL
605,CATS2D_08_PL
606,CATS2D_09_PL
607,CATS2D_03_NL
608,CATS2D_04_NL
609,CATS2D_05_NL
610,CATS2D_06_NL
611,CATS2D_07_NL
612,CATS2D_08_NL
613,CATS2D_09_NL
614,CATS2D_00_LL
615,CATS2D_01_LL
616,CATS2D_02_LL
617,CATS2D_03_LL
618,CATS2D_04_LL
619,CATS2D_05_LL
620,CATS2D_06_LL
621,CATS2D_07_LL
622,CATS2D_08_LL
623,CATS2D_09_LL
624,T(N..N)
625,T(N..O)
626,T(N..S)
627,T(N..F)
628,T(N..Cl)
629,T(N..Br)
630,T(O..O)
631,T(O..S)
632,T(O..F)
633,T(O..Cl)
634,T(O..Br)
635,T(O..I)
636,T(S..S)
637,T(S..Cl)
638,T(F..F)
639,T(F..Cl)
640,T(Cl..Cl)
641,F01[C-O]
642,F01[N-O]
643,F02[C-N]
644,F02[C-O]
645,F02[C-S]
646,F02[C-F]
647,F02[N-N]
648,F02[N-O]
649,F02[O-O]
650,F03[C-N]
651,F03[C-O]
652,F03[C-S]
653,F03[C-F]
654,F03[N-N]
655,F03[N-O]
656,F03[O-O]
657,F04[C-N]
658,F04[C-O]
659,F04[C-Cl]
660,F04[N-N]
661,F04[N-O]
662,F04[N-Cl]
663,F04[O-O]
664,F05[C-N]
665,F05[C-O]
666,F05[C-S]
667,F05[C-Cl]
668,F05[N-N]
669,F05[N-O]
670,F05[N-S]
671,F05[N-F]
672,F05[O-O]
673,F05[O-S]
674,F06[C-N]
675,F06[C-S]
676,F06[C-F]
677,F06[C-Cl]
678,F06[N-N]
679,F06[N-O]
680,F06[N-F]
681,F06[O-O]
682,F07[C-N]
683,F07[C-O]
684,F07[C-S]
685,F07[C-F]
686,F07[C-Cl]
687,F07[C-Br]
688,F07[N-N]
689,F07[N-O]
690,F07[N-F]
691,F07[O-O]
692,F08[C-N]
693,F08[C-O]
694,F08[C-S]
695,F08[C-F]
696,F08[C-Cl]
697,F08[N-N]
698,F08[N-O]
699,F08[N-F]
700,F08[N-Cl]
701,F08[O-O]
702,F09[C-N]
703,F09[C-O]
704,F09[C-S]
705,F09[C-F]
706,F09[C-Cl]
707,F09[N-N]
708,F09[N-O]
709,F09[N-F]
710,F09[O-O]
711,F10[C-N]
712,F10[C-O]
713,F10[C-S]
714,F10[C-F]
715,F10[C-Cl]
716,F10[N-N]
717,F10[N-O]
718,F10[N-F]
719,F10[O-O]
720,F10[O-S]
721,F10[O-F]
722,Uc
723,AMR
724,MLOGP
725,MLOGP2
726,ALOGP
727,ALOGP2
728,PDI
729,BLTF96
730,DLS_02
731,DLS_03
732,DLS_04
733,DLS_06
734,DLS_cons
735,LLS_01
736,LLS_02
